E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.00331E+00,1.0919E-03,5.5165E+00,3.6855E-01,5.8850E+00,5.516E+00,5.959E-01
2.224304E+00,2.00294E+00,9.2851E-04,4.3882E+00,3.5844E-01,4.7466E+00,4.388E+00,5.574E-01
2.377781E+00,2.00260E+00,7.8905E-04,3.4884E+00,3.4825E-01,3.8366E+00,3.488E+00,5.214E-01
2.541848E+00,2.00231E+00,6.7012E-04,2.7714E+00,3.3807E-01,3.1095E+00,2.771E+00,4.878E-01
2.717235E+00,2.00204E+00,5.6878E-04,2.2005E+00,3.2801E-01,2.5285E+00,2.200E+00,4.563E-01
2.904724E+00,2.00181E+00,4.8249E-04,1.7461E+00,3.1816E-01,2.0643E+00,1.746E+00,4.268E-01
3.105150E+00,2.00160E+00,4.0907E-04,1.3849E+00,3.0858E-01,1.6935E+00,1.385E+00,3.993E-01
3.319406E+00,2.00141E+00,3.4664E-04,1.0978E+00,2.9936E-01,1.3972E+00,1.098E+00,3.735E-01
3.548445E+00,2.00125E+00,2.9360E-04,8.6978E-01,2.9055E-01,1.1603E+00,8.698E-01,3.494E-01
3.793288E+00,2.00110E+00,2.4855E-04,6.8881E-01,2.8220E-01,9.7101E-01,6.888E-01,3.269E-01
4.055024E+00,2.00097E+00,2.1033E-04,5.4525E-01,2.7435E-01,8.1960E-01,5.453E-01,3.058E-01
4.334821E+00,2.00086E+00,1.7791E-04,4.3144E-01,2.6703E-01,6.9847E-01,4.314E-01,2.860E-01
4.633924E+00,2.00076E+00,1.5043E-04,3.4124E-01,2.6024E-01,6.0148E-01,3.412E-01,2.676E-01
4.953664E+00,2.00067E+00,1.2714E-04,2.6981E-01,2.5401E-01,5.2382E-01,2.698E-01,2.503E-01
5.295467E+00,2.00059E+00,1.0743E-04,2.1326E-01,2.4832E-01,4.6158E-01,2.133E-01,2.341E-01
5.660855E+00,2.00052E+00,9.0740E-05,1.6850E-01,2.4318E-01,4.1168E-01,1.685E-01,2.190E-01
6.051453E+00,2.00046E+00,7.6624E-05,1.3311E-01,2.3857E-01,3.7168E-01,1.331E-01,2.049E-01
6.469004E+00,2.00040E+00,6.4687E-05,1.0512E-01,2.3446E-01,3.3958E-01,1.051E-01,1.917E-01
6.915365E+00,2.00035E+00,5.4596E-05,8.2993E-02,2.3083E-01,3.1382E-01,8.299E-02,1.793E-01
7.392525E+00,2.00031E+00,4.6070E-05,6.5512E-02,2.2764E-01,2.9315E-01,6.551E-02,1.677E-01
7.902609E+00,2.00027E+00,3.8868E-05,5.1704E-02,2.2487E-01,2.7657E-01,5.170E-02,1.569E-01
8.447890E+00,2.00024E+00,3.2787E-05,4.0799E-02,2.2247E-01,2.6327E-01,4.080E-02,1.468E-01
9.030794E+00,2.00021E+00,2.7654E-05,3.2190E-02,2.2040E-01,2.5259E-01,3.219E-02,1.373E-01
9.653919E+00,2.00019E+00,2.3322E-05,2.5395E-02,2.1863E-01,2.4402E-01,2.540E-02,1.284E-01
2.011215E+01,2.00004E+00,3.5810E-06,1.8717E-03,2.0740E-01,2.0927E-01,1.872E-03,6.165E-02
