E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.38307E+01,2.7971E+00,1.0879E+03,3.6169E+00,1.0915E+03,0.000E+00,5.959E-01
2.224304E+00,2.37813E+01,2.5207E+00,9.1714E+02,3.5444E+00,9.2068E+02,0.000E+00,5.574E-01
2.377781E+00,2.37276E+01,2.2658E+00,7.7117E+02,3.4639E+00,7.7463E+02,0.000E+00,5.214E-01
2.541848E+00,2.36639E+01,2.0299E+00,6.4631E+02,3.3762E+00,6.4969E+02,0.000E+00,4.878E-01
2.717235E+00,2.35939E+01,1.8208E+00,5.4230E+02,3.2820E+00,5.4558E+02,0.000E+00,4.563E-01
2.904724E+00,2.35212E+01,1.6307E+00,4.5435E+02,3.1822E+00,4.5753E+02,0.000E+00,4.268E-01
3.105150E+00,2.34551E+01,1.4474E+00,3.7725E+02,3.0777E+00,3.8033E+02,0.000E+00,3.993E-01
3.319406E+00,2.33672E+01,1.2756E+00,3.1101E+02,2.9691E+00,3.1398E+02,0.000E+00,3.735E-01
3.548445E+00,2.32625E+01,1.1254E+00,2.5667E+02,2.8575E+00,2.5953E+02,0.000E+00,3.494E-01
3.793288E+00,2.31453E+01,9.9380E-01,2.1203E+02,2.7434E+00,2.1477E+02,0.000E+00,3.269E-01
4.055024E+00,2.30137E+01,8.7851E-01,1.7533E+02,2.6278E+00,1.7796E+02,0.000E+00,3.058E-01
4.334821E+00,2.28622E+01,7.7738E-01,1.4514E+02,2.5113E+00,1.4765E+02,0.000E+00,2.860E-01
4.633924E+00,2.26790E+01,6.8860E-01,1.2026E+02,2.3946E+00,1.2265E+02,0.000E+00,2.676E-01
4.953664E+00,2.24400E+01,6.1057E-01,9.9752E+01,2.2784E+00,1.0203E+02,0.000E+00,2.503E-01
5.295467E+00,2.20858E+01,5.4194E-01,8.2824E+01,2.1633E+00,8.4987E+01,0.000E+00,2.341E-01
5.660855E+00,2.13981E+01,4.8151E-01,6.8838E+01,2.0499E+00,7.0888E+01,0.000E+00,2.190E-01
5.869416E+00,2.04015E+01,4.5180E-01,6.2295E+01,1.9892E+00,6.4284E+01,0.000E+00,2.112E-01
5.959254E+00,1.89371E+01,4.3991E-01,5.9743E+01,1.9640E+00,6.1707E+01,0.000E+00,2.081E-01
5.983211E+00,1.71703E+01,4.3683E-01,5.9086E+01,1.9573E+00,6.1043E+01,0.000E+00,2.072E-01
