E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,2.88419E+01,5.8780E+00,1.8707E+03,4.6193E+00,1.8753E+03,0.000E+00,5.959E-01
2.224304E+00,2.89864E+01,5.2957E+00,1.5766E+03,4.5411E+00,1.5811E+03,0.000E+00,5.574E-01
2.377781E+00,2.90462E+01,4.7581E+00,1.3251E+03,4.4516E+00,1.3296E+03,0.000E+00,5.214E-01
2.541848E+00,2.90690E+01,4.2769E+00,1.1142E+03,4.3517E+00,1.1186E+03,0.000E+00,4.878E-01
2.717235E+00,2.90677E+01,3.8470E+00,9.3754E+02,4.2424E+00,9.4178E+02,0.000E+00,4.563E-01
2.904724E+00,2.90575E+01,3.4633E+00,7.8954E+02,4.1246E+00,7.9366E+02,0.000E+00,4.268E-01
3.105150E+00,2.90457E+01,3.1014E+00,6.6140E+02,3.9994E+00,6.6540E+02,0.000E+00,3.993E-01
3.319406E+00,2.89922E+01,2.7637E+00,5.5134E+02,3.8678E+00,5.5521E+02,0.000E+00,3.735E-01
3.548445E+00,2.89262E+01,2.4650E+00,4.6001E+02,3.7310E+00,4.6374E+02,0.000E+00,3.494E-01
3.793288E+00,2.88535E+01,2.1976E+00,3.8363E+02,3.5899E+00,3.8722E+02,0.000E+00,3.269E-01
4.055024E+00,2.87704E+01,1.9496E+00,3.1838E+02,3.4456E+00,3.2183E+02,0.000E+00,3.058E-01
4.334821E+00,2.86782E+01,1.7317E+00,2.6455E+02,3.2992E+00,2.6785E+02,0.000E+00,2.860E-01
4.633924E+00,2.85808E+01,1.5402E+00,2.2010E+02,3.1514E+00,2.2325E+02,0.000E+00,2.676E-01
4.953664E+00,2.84790E+01,1.3670E+00,1.8275E+02,3.0033E+00,1.8575E+02,0.000E+00,2.503E-01
5.295467E+00,2.83686E+01,1.2121E+00,1.5158E+02,2.8557E+00,1.5444E+02,0.000E+00,2.341E-01
5.660855E+00,2.82491E+01,1.0758E+00,1.2584E+02,2.7094E+00,1.2855E+02,0.000E+00,2.190E-01
6.051453E+00,2.81175E+01,9.5563E-01,1.0457E+02,2.5651E+00,1.0714E+02,0.000E+00,2.049E-01
6.469004E+00,2.79683E+01,8.4971E-01,8.6981E+01,2.4234E+00,8.9404E+01,0.000E+00,1.917E-01
6.915365E+00,2.77902E+01,7.5624E-01,7.2416E+01,2.2850E+00,7.4701E+01,0.000E+00,1.793E-01
7.392525E+00,2.75610E+01,6.7369E-01,6.0347E+01,2.1504E+00,6.2497E+01,0.000E+00,1.677E-01
7.902609E+00,2.72270E+01,6.0071E-01,5.0336E+01,2.0199E+00,5.2356E+01,0.000E+00,1.569E-01
8.447890E+00,2.65993E+01,5.3613E-01,4.2025E+01,1.8940E+00,4.3919E+01,0.000E+00,1.468E-01
8.799322E+00,2.55649E+01,5.0037E-01,3.7656E+01,1.8194E+00,3.9475E+01,0.000E+00,1.409E-01
