E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,3.86746E+01,5.2173E+00,1.0253E+03,6.6891E+00,1.0320E+03,0.000E+00,5.959E-01
2.224304E+00,3.82656E+01,4.7367E+00,8.7081E+02,6.6089E+00,8.7742E+02,0.000E+00,5.574E-01
2.377781E+00,3.77071E+01,4.3058E+00,7.4049E+02,6.5112E+00,7.4700E+02,0.000E+00,5.214E-01
2.541848E+00,3.69090E+01,3.9180E+00,6.3032E+02,6.3968E+00,6.3672E+02,0.000E+00,4.878E-01
2.717235E+00,3.56223E+01,3.5657E+00,5.3661E+02,6.2671E+00,5.4288E+02,0.000E+00,4.563E-01
2.904724E+00,3.27378E+01,3.2488E+00,4.5736E+02,6.1232E+00,4.6348E+02,0.000E+00,4.268E-01
2.943724E+00,3.14079E+01,3.1893E+00,4.4304E+02,6.0929E+00,4.4913E+02,0.000E+00,4.212E-01
2.988781E+00,2.78447E+01,3.1231E+00,4.2730E+02,6.0577E+00,4.3336E+02,0.000E+00,4.148E-01
3.000796E+00,2.38203E+01,3.1056E+00,4.2320E+02,6.0483E+00,4.2925E+02,0.000E+00,4.132E-01
3.018819E+00,2.76279E+01,1.0824E+01,1.4662E+03,6.0342E+00,1.4722E+03,0.000E+00,4.107E-01
3.063876E+00,3.07009E+01,1.0604E+01,1.4152E+03,5.9989E+00,1.4212E+03,0.000E+00,4.047E-01
3.083178E+00,3.11221E+01,1.0512E+01,1.3942E+03,5.9837E+00,1.4002E+03,0.000E+00,4.021E-01
3.105150E+00,3.12624E+01,1.0409E+01,1.3707E+03,5.9665E+00,1.3767E+03,0.000E+00,3.993E-01
3.130370E+00,3.07066E+01,1.0293E+01,1.3446E+03,5.9467E+00,1.3505E+03,0.000E+00,3.961E-01
3.142954E+00,2.89990E+01,1.0236E+01,1.3318E+03,5.9368E+00,1.3377E+03,0.000E+00,3.945E-01
3.161831E+00,3.12954E+01,1.3993E+01,1.8098E+03,5.9220E+00,1.8157E+03,0.000E+00,3.921E-01
3.209022E+00,3.37259E+01,1.3691E+01,1.7447E+03,5.8849E+00,1.7506E+03,0.000E+00,3.864E-01
3.319406E+00,3.59162E+01,1.3008E+01,1.6024E+03,5.7983E+00,1.6082E+03,0.000E+00,3.735E-01
3.343662E+00,3.61407E+01,1.2857E+01,1.5724E+03,5.7794E+00,1.5782E+03,0.000E+00,3.708E-01
3.394841E+00,3.60599E+01,1.2545E+01,1.5111E+03,5.7394E+00,1.5168E+03,0.000E+00,3.652E-01
3.408488E+00,3.52798E+01,1.2463E+01,1.4952E+03,5.7287E+00,1.5009E+03,0.000E+00,3.638E-01
3.428960E+00,3.64699E+01,1.4209E+01,1.6945E+03,5.7128E+00,1.7002E+03,0.000E+00,3.616E-01
3.480138E+00,3.78650E+01,1.3890E+01,1.6320E+03,5.6730E+00,1.6377E+03,0.000E+00,3.563E-01
3.548445E+00,3.89158E+01,1.3477E+01,1.5531E+03,5.6202E+00,1.5587E+03,0.000E+00,3.494E-01
3.793288E+00,4.11094E+01,1.2138E+01,1.3085E+03,5.4334E+00,1.3139E+03,0.000E+00,3.269E-01
4.055024E+00,4.24388E+01,1.0918E+01,1.1010E+03,5.2395E+00,1.1062E+03,0.000E+00,3.058E-01
4.334821E+00,4.33289E+01,9.8125E+00,9.2565E+02,5.0399E+00,9.3069E+02,0.000E+00,2.860E-01
4.633924E+00,4.39500E+01,8.8157E+00,7.7795E+02,4.8360E+00,7.8279E+02,0.000E+00,2.676E-01
4.953664E+00,4.43826E+01,7.9204E+00,6.5382E+02,4.6291E+00,6.5845E+02,0.000E+00,2.503E-01
5.295467E+00,4.46862E+01,7.1193E+00,5.4976E+02,4.4206E+00,5.5418E+02,0.000E+00,2.341E-01
5.660855E+00,4.48983E+01,6.4020E+00,4.6246E+02,4.2116E+00,4.6667E+02,0.000E+00,2.190E-01
6.051453E+00,4.51300E+01,5.7551E+00,3.8890E+02,4.0034E+00,3.9290E+02,0.000E+00,2.049E-01
6.469004E+00,4.52610E+01,5.1523E+00,3.2569E+02,3.7970E+00,3.2949E+02,0.000E+00,1.917E-01
6.915365E+00,4.53329E+01,4.6094E+00,2.7257E+02,3.5934E+00,2.7616E+02,0.000E+00,1.793E-01
7.392525E+00,4.53324E+01,4.1209E+00,2.2795E+02,3.3935E+00,2.3134E+02,0.000E+00,1.677E-01
7.902609E+00,4.53055E+01,3.6875E+00,1.9081E+02,3.1980E+00,1.9401E+02,0.000E+00,1.569E-01
8.447890E+00,4.52629E+01,3.3029E+00,1.5988E+02,3.0078E+00,1.6289E+02,0.000E+00,1.468E-01
9.030794E+00,4.52202E+01,2.9540E+00,1.3376E+02,2.8233E+00,1.3658E+02,0.000E+00,1.373E-01
9.653919E+00,4.51573E+01,2.6207E+00,1.1101E+02,2.6451E+00,1.1366E+02,0.000E+00,1.284E-01
2.011215E+01,4.36125E+01,6.9962E-01,1.4225E+01,1.1654E+00,1.5390E+01,0.000E+00,6.165E-02
2.149988E+01,4.31259E+01,6.2075E-01,1.1807E+01,1.0744E+00,1.2881E+01,0.000E+00,5.767E-02
2.275550E+01,4.19842E+01,5.6105E-01,1.0082E+01,1.0021E+00,1.1084E+01,0.000E+00,5.449E-02
2.298338E+01,4.13616E+01,5.5121E-01,9.8071E+00,9.8989E-01,1.0797E+01,0.000E+00,5.395E-02
2.310380E+01,4.06879E+01,5.4612E-01,9.6660E+00,9.8354E-01,1.0650E+01,0.000E+00,5.366E-02
2.319668E+01,3.91279E+01,5.4225E-01,9.5591E+00,9.7869E-01,1.0538E+01,0.000E+00,5.345E-02
2.333600E+01,4.07147E+01,3.6109E+00,6.3274E+01,9.7149E-01,6.4245E+01,5.387E+01,5.313E-02
2.368430E+01,4.21495E+01,3.5161E+00,6.0708E+01,9.5390E-01,6.1662E+01,5.168E+01,5.235E-02
2.456923E+01,4.32772E+01,3.2962E+00,5.4861E+01,9.1162E-01,5.5773E+01,4.671E+01,5.046E-02
2.626450E+01,4.41227E+01,2.9629E+00,4.6131E+01,8.3929E-01,4.6970E+01,3.935E+01,4.721E-02
2.807676E+01,4.45784E+01,2.6567E+00,3.8694E+01,7.7258E-01,3.9467E+01,3.311E+01,4.416E-02
3.001405E+01,4.48642E+01,2.3762E+00,3.2375E+01,7.1121E-01,3.3086E+01,2.779E+01,4.131E-02
