E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.00017E+00,2.8980E-05,5.8144E-01,3.9676E-01,9.7820E-01,5.814E-01,5.959E-01
2.224304E+00,1.00015E+00,2.4677E-05,4.6314E-01,3.8743E-01,8.5057E-01,4.631E-01,5.574E-01
2.377781E+00,1.00013E+00,2.1007E-05,3.6881E-01,3.7944E-01,7.4825E-01,3.688E-01,5.214E-01
2.541848E+00,1.00011E+00,1.7878E-05,2.9362E-01,3.7272E-01,6.6634E-01,2.936E-01,4.878E-01
2.717235E+00,1.00010E+00,1.5211E-05,2.3370E-01,3.6721E-01,6.0091E-01,2.337E-01,4.563E-01
2.904724E+00,1.00009E+00,1.2940E-05,1.8597E-01,3.6283E-01,5.4880E-01,1.860E-01,4.268E-01
3.105150E+00,1.00008E+00,1.1005E-05,1.4795E-01,3.5950E-01,5.0745E-01,1.479E-01,3.993E-01
3.319406E+00,1.00007E+00,9.3572E-06,1.1768E-01,3.5714E-01,4.7482E-01,1.177E-01,3.735E-01
3.548445E+00,1.00006E+00,7.9549E-06,9.3586E-02,3.5567E-01,4.4926E-01,9.359E-02,3.494E-01
3.793288E+00,1.00005E+00,6.7615E-06,7.4412E-02,3.5500E-01,4.2941E-01,7.441E-02,3.269E-01
4.055024E+00,1.00005E+00,5.7461E-06,5.9156E-02,3.5506E-01,4.1422E-01,5.916E-02,3.058E-01
4.334821E+00,1.00004E+00,4.8825E-06,4.7021E-02,3.5575E-01,4.0277E-01,4.702E-02,2.860E-01
4.633924E+00,1.00004E+00,4.1481E-06,3.7370E-02,3.5700E-01,3.9437E-01,3.737E-02,2.676E-01
4.953664E+00,1.00003E+00,3.5237E-06,2.9696E-02,3.5872E-01,3.8842E-01,2.970E-02,2.503E-01
5.295467E+00,1.00003E+00,2.9930E-06,2.3595E-02,3.6084E-01,3.8444E-01,2.359E-02,2.341E-01
5.660855E+00,1.00002E+00,2.5419E-06,1.8745E-02,3.6328E-01,3.8202E-01,1.875E-02,2.190E-01
6.051453E+00,1.00002E+00,2.1586E-06,1.4891E-02,3.6596E-01,3.8085E-01,1.489E-02,2.049E-01
