E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,5.04447E+01,1.2563E+01,1.9117E+03,7.5911E+00,1.9193E+03,0.000E+00,5.959E-01
2.224304E+00,5.06470E+01,1.1459E+01,1.6312E+03,7.5161E+00,1.6387E+03,0.000E+00,5.574E-01
2.377781E+00,5.07185E+01,1.0455E+01,1.3922E+03,7.4207E+00,1.3996E+03,0.000E+00,5.214E-01
2.541848E+00,5.07506E+01,9.5448E+00,1.1889E+03,7.3059E+00,1.1962E+03,0.000E+00,4.878E-01
2.717235E+00,5.07159E+01,8.7209E+00,1.0162E+03,7.1729E+00,1.0234E+03,0.000E+00,4.563E-01
2.904724E+00,5.06493E+01,7.9771E+00,8.6952E+02,7.0231E+00,8.7654E+02,0.000E+00,4.268E-01
3.105150E+00,5.05732E+01,7.1995E+00,7.3410E+02,6.8577E+00,7.4096E+02,0.000E+00,3.993E-01
3.319406E+00,5.03418E+01,6.4441E+00,6.1467E+02,6.6784E+00,6.2135E+02,0.000E+00,3.735E-01
3.548445E+00,5.00012E+01,5.7780E+00,5.1556E+02,6.4867E+00,5.2205E+02,0.000E+00,3.494E-01
3.793288E+00,4.95485E+01,5.1910E+00,4.3329E+02,6.2841E+00,4.3957E+02,0.000E+00,3.269E-01
4.055024E+00,4.89460E+01,4.6666E+00,3.6437E+02,6.0723E+00,3.7044E+02,0.000E+00,3.058E-01
4.334821E+00,4.80760E+01,4.1851E+00,3.0568E+02,5.8528E+00,3.1153E+02,0.000E+00,2.860E-01
4.633924E+00,4.66164E+01,3.7579E+00,2.5677E+02,5.6272E+00,2.6240E+02,0.000E+00,2.676E-01
4.911662E+00,4.33790E+01,3.4164E+00,2.2023E+02,5.4267E+00,2.2566E+02,0.000E+00,2.524E-01
4.953664E+00,4.20880E+01,3.3694E+00,2.1536E+02,5.3971E+00,2.2076E+02,0.000E+00,2.503E-01
4.986840E+00,4.01016E+01,3.3331E+00,2.1162E+02,5.3739E+00,2.1699E+02,0.000E+00,2.486E-01
5.006888E+00,3.63183E+01,3.3114E+00,2.0940E+02,5.3600E+00,2.1476E+02,0.000E+00,2.476E-01
5.036959E+00,4.00489E+01,1.0623E+01,6.6775E+02,5.3391E+00,6.7309E+02,0.000E+00,2.461E-01
5.112138E+00,4.32059E+01,1.0283E+01,6.3688E+02,5.2874E+00,6.4217E+02,0.000E+00,2.425E-01
5.252212E+00,4.44330E+01,9.6920E+00,5.8426E+02,5.1928E+00,5.8945E+02,0.000E+00,2.361E-01
5.295467E+00,4.42277E+01,9.5385E+00,5.7031E+02,5.1640E+00,5.7547E+02,0.000E+00,2.341E-01
5.332603E+00,4.35105E+01,9.4138E+00,5.5893E+02,5.1395E+00,5.6407E+02,0.000E+00,2.325E-01
5.354040E+00,4.17843E+01,9.3437E+00,5.5255E+02,5.1254E+00,5.5768E+02,0.000E+00,2.316E-01
5.386197E+00,4.38628E+01,1.2901E+01,7.5838E+02,5.1044E+00,7.6348E+02,0.000E+00,2.302E-01
5.466588E+00,4.59086E+01,1.2529E+01,7.2565E+02,5.0523E+00,7.3070E+02,0.000E+00,2.268E-01
5.600014E+00,4.71111E+01,1.1957E+01,6.7602E+02,4.9674E+00,6.8099E+02,0.000E+00,2.214E-01
5.660855E+00,4.71838E+01,1.1722E+01,6.5565E+02,4.9293E+00,6.6058E+02,0.000E+00,2.190E-01
5.685729E+00,4.70101E+01,1.1632E+01,6.4775E+02,4.9139E+00,6.5266E+02,0.000E+00,2.181E-01
5.708586E+00,4.62463E+01,1.1551E+01,6.4063E+02,4.8997E+00,6.4553E+02,0.000E+00,2.172E-01
5.742872E+00,4.73775E+01,1.3236E+01,7.2976E+02,4.8786E+00,7.3464E+02,0.000E+00,2.159E-01
5.828586E+00,4.86805E+01,1.2933E+01,7.0256E+02,4.8264E+00,7.0739E+02,0.000E+00,2.127E-01
6.051453E+00,5.03007E+01,1.2217E+01,6.3923E+02,4.6943E+00,6.4392E+02,0.000E+00,2.049E-01
6.469004E+00,5.19890E+01,1.1075E+01,5.4204E+02,4.4604E+00,5.4650E+02,0.000E+00,1.917E-01
6.915365E+00,5.30921E+01,1.0007E+01,4.5818E+02,4.2287E+00,4.6241E+02,0.000E+00,1.793E-01
7.392525E+00,5.38505E+01,9.0110E+00,3.8594E+02,4.0002E+00,3.8994E+02,0.000E+00,1.677E-01
7.902609E+00,5.43753E+01,8.1009E+00,3.2456E+02,3.7760E+00,3.2834E+02,0.000E+00,1.569E-01
8.447890E+00,5.47429E+01,7.2827E+00,2.7295E+02,3.5569E+00,2.7651E+02,0.000E+00,1.468E-01
9.030794E+00,5.50192E+01,6.5399E+00,2.2929E+02,3.3438E+00,2.3263E+02,0.000E+00,1.373E-01
9.653919E+00,5.51931E+01,5.8397E+00,1.9152E+02,3.1371E+00,1.9466E+02,0.000E+00,1.284E-01
2.011215E+01,5.48037E+01,1.6265E+00,2.5606E+01,1.3906E+00,2.6997E+01,0.000E+00,6.165E-02
2.149988E+01,5.46938E+01,1.4529E+00,2.1396E+01,1.2811E+00,2.2677E+01,0.000E+00,5.767E-02
2.298338E+01,5.45784E+01,1.2958E+00,1.7851E+01,1.1791E+00,1.9030E+01,0.000E+00,5.395E-02
2.456923E+01,5.44532E+01,1.1546E+00,1.4880E+01,1.0845E+00,1.5964E+01,0.000E+00,5.046E-02
2.626450E+01,5.43136E+01,1.0260E+00,1.2369E+01,9.9677E-01,1.3366E+01,0.000E+00,4.721E-02
2.807676E+01,5.41460E+01,9.0351E-01,1.0189E+01,9.1571E-01,1.1105E+01,0.000E+00,4.416E-02
3.001405E+01,5.39188E+01,7.9396E-01,8.3754E+00,8.4095E-01,9.2164E+00,0.000E+00,4.131E-02
3.208502E+01,5.35825E+01,6.9828E-01,6.8907E+00,7.7215E-01,7.6628E+00,0.000E+00,3.864E-02
3.429889E+01,5.29105E+01,6.1464E-01,5.6739E+00,7.0896E-01,6.3829E+00,0.000E+00,3.615E-02
3.526491E+01,5.21950E+01,5.8299E-01,5.2343E+00,6.8423E-01,5.9185E+00,0.000E+00,3.516E-02
3.580468E+01,5.09706E+01,5.6641E-01,5.0088E+00,6.7109E-01,5.6799E+00,0.000E+00,3.463E-02
3.594862E+01,4.95025E+01,5.6212E-01,4.9509E+00,6.6766E-01,5.6186E+00,0.000E+00,3.449E-02
3.616452E+01,5.09879E+01,3.4469E+00,3.0177E+01,6.6258E-01,3.0840E+01,2.531E+01,3.428E-02
3.666551E+01,5.22763E+01,3.3719E+00,2.9117E+01,6.5105E-01,2.9768E+01,2.444E+01,3.381E-02
3.670429E+01,5.23309E+01,3.3662E+00,2.9038E+01,6.5017E-01,2.9688E+01,2.438E+01,3.378E-02
3.919543E+01,5.38290E+01,3.0270E+00,2.4452E+01,5.9807E-01,2.5050E+01,2.060E+01,3.163E-02
4.189992E+01,5.44128E+01,2.7121E+00,2.0494E+01,5.4969E-01,2.1044E+01,1.731E+01,2.959E-02
4.479101E+01,5.47513E+01,2.4284E+00,1.7166E+01,5.0559E-01,1.7672E+01,1.454E+01,2.768E-02
4.788159E+01,5.49722E+01,2.1715E+00,1.4359E+01,4.6545E-01,1.4824E+01,1.219E+01,2.589E-02
5.118542E+01,5.51185E+01,1.9375E+00,1.1985E+01,4.2897E-01,1.2414E+01,1.019E+01,2.422E-02
5.471721E+01,5.52163E+01,1.7284E+00,1.0001E+01,3.9586E-01,1.0397E+01,8.512E+00,2.266E-02
5.849270E+01,5.52810E+01,1.5415E+00,8.3441E+00,3.6584E-01,8.7099E+00,7.110E+00,2.120E-02
6.252870E+01,5.53226E+01,1.3747E+00,6.9608E+00,3.3866E-01,7.2995E+00,5.937E+00,1.983E-02
6.684318E+01,5.53477E+01,1.2258E+00,5.8063E+00,3.1407E-01,6.1204E+00,4.957E+00,1.855E-02
7.145536E+01,5.53613E+01,1.0930E+00,4.8430E+00,2.9184E-01,5.1348E+00,4.138E+00,1.735E-02
7.638578E+01,5.53958E+01,9.7171E-01,4.0277E+00,2.7175E-01,4.2994E+00,3.441E+00,1.623E-02
8.165640E+01,5.53951E+01,8.6233E-01,3.3437E+00,2.5359E-01,3.5973E+00,2.858E+00,1.518E-02
8.729069E+01,5.53844E+01,7.6264E-01,2.7662E+00,2.3720E-01,3.0034E+00,2.366E+00,1.420E-02
9.331374E+01,5.53689E+01,6.7454E-01,2.2888E+00,2.2238E-01,2.5112E+00,1.959E+00,1.329E-02
9.975239E+01,5.53507E+01,5.9667E-01,1.8939E+00,2.0899E-01,2.1029E+00,1.622E+00,1.243E-02
2.078156E+02,5.51498E+01,1.5613E-01,2.3788E-01,1.2175E-01,3.5963E-01,2.039E-01,5.966E-03
2.221548E+02,5.51368E+01,1.3835E-01,1.9717E-01,1.1709E-01,3.1426E-01,1.690E-01,5.581E-03
2.374835E+02,5.51247E+01,1.2259E-01,1.6344E-01,1.1273E-01,2.7617E-01,1.401E-01,5.221E-03
2.538699E+02,5.51136E+01,1.0864E-01,1.3549E-01,1.0863E-01,2.4412E-01,1.161E-01,4.884E-03
2.713869E+02,5.51033E+01,9.6275E-02,1.1232E-01,1.0476E-01,2.1708E-01,9.619E-02,4.569E-03
2.901126E+02,5.50939E+01,8.5325E-02,9.3121E-02,1.0109E-01,1.9421E-01,7.972E-02,4.274E-03
3.101304E+02,5.50852E+01,7.5625E-02,7.7207E-02,9.7600E-02,1.7481E-01,6.606E-02,3.998E-03
3.315294E+02,5.50773E+01,6.7031E-02,6.4016E-02,9.4269E-02,1.5828E-01,5.475E-02,3.740E-03
3.544049E+02,5.50700E+01,5.9416E-02,5.3081E-02,9.1077E-02,1.4416E-01,4.537E-02,3.498E-03
3.788588E+02,5.50634E+01,5.2669E-02,4.4016E-02,8.8010E-02,1.3203E-01,3.760E-02,3.273E-03
4.050001E+02,5.50574E+01,4.6690E-02,3.6501E-02,8.5053E-02,1.2155E-01,3.116E-02,3.061E-03
4.329451E+02,5.50519E+01,4.1392E-02,3.0270E-02,8.2196E-02,1.1247E-01,2.582E-02,2.864E-03
