E [keV],f1 [e atom⁻¹],f2 [e atom⁻¹],μ/ρ [cm² g⁻¹],σ/ρ [cm² g⁻¹],μ/ρ total [cm² g⁻¹],μ/ρ_K [cm² g⁻¹],λ [nm]
2.080733E+00,1.13134E+01,3.7279E-01,2.4341E+02,2.2187E+00,2.4563E+02,0.000E+00,5.959E-01
2.102590E+00,1.08633E+01,3.6641E-01,2.3676E+02,2.2115E+00,2.3897E+02,0.000E+00,5.897E-01
2.134772E+00,9.28431E+00,3.5735E-01,2.2742E+02,2.2008E+00,2.2962E+02,0.000E+00,5.808E-01
2.143354E+00,7.39192E+00,3.5500E-01,2.2502E+02,2.1980E+00,2.2722E+02,0.000E+00,5.785E-01
2.156227E+00,9.29308E+00,4.0785E+00,2.5698E+03,2.1937E+00,2.5720E+03,2.348E+03,5.750E-01
2.188410E+00,1.10202E+01,4.0118E+00,2.4906E+03,2.1829E+00,2.4928E+03,2.278E+03,5.665E-01
2.224304E+00,1.18112E+01,3.9399E+00,2.4065E+03,2.1707E+00,2.4087E+03,2.202E+03,5.574E-01
2.377781E+00,1.32998E+01,3.5859E+00,2.0489E+03,2.1182E+00,2.0510E+03,1.878E+03,5.214E-01
2.541848E+00,1.40078E+01,3.2218E+00,1.7220E+03,2.0616E+00,1.7241E+03,1.578E+03,4.878E-01
2.717235E+00,1.44377E+01,2.8870E+00,1.4435E+03,2.0014E+00,1.4455E+03,1.323E+03,4.563E-01
2.904724E+00,1.47250E+01,2.5936E+00,1.2131E+03,1.9383E+00,1.2150E+03,1.112E+03,4.268E-01
3.105150E+00,1.49354E+01,2.3262E+00,1.0178E+03,1.8725E+00,1.0197E+03,9.341E+02,3.993E-01
3.319406E+00,1.50821E+01,2.0806E+00,8.5156E+02,1.8048E+00,8.5336E+02,7.824E+02,3.735E-01
3.548445E+00,1.51854E+01,1.8611E+00,7.1257E+02,1.7355E+00,7.1431E+02,6.553E+02,3.494E-01
3.793288E+00,1.52583E+01,1.6640E+00,5.9597E+02,1.6653E+00,5.9764E+02,5.489E+02,3.269E-01
4.055024E+00,1.53093E+01,1.4879E+00,4.9849E+02,1.5944E+00,5.0008E+02,4.597E+02,3.058E-01
4.334821E+00,1.53912E+01,1.3284E+00,4.1634E+02,1.5234E+00,4.1786E+02,3.844E+02,2.860E-01
4.633924E+00,1.54105E+01,1.1761E+00,3.4481E+02,1.4526E+00,3.4626E+02,3.185E+02,2.676E-01
4.953664E+00,1.54155E+01,1.0413E+00,2.8558E+02,1.3825E+00,2.8696E+02,2.639E+02,2.503E-01
5.295467E+00,1.54114E+01,9.2199E-01,2.3654E+02,1.3134E+00,2.3785E+02,2.186E+02,2.341E-01
5.660855E+00,1.54013E+01,8.1640E-01,1.9593E+02,1.2456E+00,1.9718E+02,1.811E+02,2.190E-01
6.051453E+00,1.53871E+01,7.2293E-01,1.6230E+02,1.1793E+00,1.6348E+02,1.501E+02,2.049E-01
6.469004E+00,1.53703E+01,6.4020E-01,1.3445E+02,1.1149E+00,1.3556E+02,1.243E+02,1.917E-01
6.915365E+00,1.53519E+01,5.6693E-01,1.1138E+02,1.0526E+00,1.1243E+02,1.030E+02,1.793E-01
7.392525E+00,1.53326E+01,5.0207E-01,9.2268E+01,9.9245E-01,9.3260E+01,8.535E+01,1.677E-01
7.902609E+00,1.53133E+01,4.4464E-01,7.6440E+01,9.3467E-01,7.7375E+01,7.071E+01,1.569E-01
8.447890E+00,1.52943E+01,3.9380E-01,6.3330E+01,8.7935E-01,6.4209E+01,5.858E+01,1.468E-01
9.030794E+00,1.52766E+01,3.4826E-01,5.2391E+01,8.2659E-01,5.3218E+01,4.847E+01,1.373E-01
9.653919E+00,1.52590E+01,3.0528E-01,4.2962E+01,7.7642E-01,4.3738E+01,3.977E+01,1.284E-01
2.011215E+01,1.50960E+01,6.9723E-02,4.7098E+00,3.9036E-01,5.1002E+00,4.360E+00,6.165E-02
2.149988E+01,1.50869E+01,6.0972E-02,3.8528E+00,3.6845E-01,4.2213E+00,3.567E+00,5.767E-02
2.298338E+01,1.50785E+01,5.3321E-02,3.1519E+00,3.4830E-01,3.5002E+00,2.917E+00,5.395E-02
2.456923E+01,1.50710E+01,4.6630E-02,2.5785E+00,3.2979E-01,2.9083E+00,2.386E+00,5.046E-02
2.626450E+01,1.50642E+01,4.0780E-02,2.1094E+00,3.1282E-01,2.4222E+00,1.952E+00,4.721E-02
2.807676E+01,1.50579E+01,3.5454E-02,1.7155E+00,2.9726E-01,2.0128E+00,1.587E+00,4.416E-02
3.001405E+01,1.50521E+01,3.0764E-02,1.3925E+00,2.8302E-01,1.6755E+00,1.289E+00,4.131E-02
3.208502E+01,1.50469E+01,2.6694E-02,1.1303E+00,2.6999E-01,1.4003E+00,1.046E+00,3.864E-02
3.429889E+01,1.50421E+01,2.3164E-02,9.1751E-01,2.5807E-01,1.1756E+00,8.492E-01,3.615E-02
3.666551E+01,1.50377E+01,2.0100E-02,7.4477E-01,2.4716E-01,9.9193E-01,6.893E-01,3.381E-02
3.919543E+01,1.50338E+01,1.7442E-02,6.0456E-01,2.3717E-01,8.4173E-01,5.596E-01,3.163E-02
